timestamp,tx_id,sender,receiver,amount,currency,tx_type,is_laundering
2022-09-01 00:00:00,95988,80FCBD920,80FCBD920,4.71,US Dollar,Reinvestment,0
2022-09-01 00:00:00,36632,802A14BF0,8051551E0,3457.92,US Dollar,Wire,0
2022-09-01 00:00:00,159126,80027A2B0,8082FCFA0,2282.24,Euro,Credit Card,0
2022-09-01 00:00:00,39069,8057C54A0,8057C54A0,20.32,US Dollar,Reinvestment,0
2022-09-01 00:00:00,207133,80D9A1350,80D9A1350,1406233.35,Yuan,Reinvestment,0
2022-09-01 00:00:00,6642,800BC60F0,800BC60F0,6438.53,US Dollar,Reinvestment,0
2022-09-01 00:00:00,140574,8001B5780,802BB96A0,53090.81,Euro,Wire,0
2022-09-01 00:00:00,2170,800480BD0,800480BD0,157382.16,US Dollar,Reinvestment,0
2022-09-01 00:00:00,12597,800A52E00,8015636B0,148.24,US Dollar,ACH,0
2022-09-01 00:00:00,287979,80E199310,80E7D8530,113390.82,Swiss Franc,Cheque,0
2022-09-01 00:00:00,150927,8067FB0C0,8067FB0C0,12998.62,Euro,Reinvestment,0
2022-09-01 00:00:00,223045,803B03F50,804AA5F80,449645.82,Rupee,Cheque,0
2022-09-01 00:00:00,25475,8031F0A70,80583C700,26.72,US Dollar,Credit Card,0
2022-09-01 00:00:00,280625,8000F5030,8000F5030,109192.02,US Dollar,ACH,0
2022-09-01 00:00:00,130373,8005621A0,80174C690,121449.43,Euro,Cheque,0
2022-09-01 00:00:00,313875,811C345C0,811C345C0,45.36,Saudi Riyal,Reinvestment,0
2022-09-01 00:00:00,126465,8001FD490,800C74670,3526.4,Euro,Credit Card,0
2022-09-01 00:00:00,226564,8050B59E0,8050B59E0,1212.92,Rupee,Reinvestment,0
2022-09-01 00:00:00,228354,8050E4E30,80551E800,332166.66,Rupee,Cheque,0
2022-09-01 00:00:00,191045,8000FBD00,812AE1B50,11.34,Euro,ACH,0
2022-09-01 00:00:00,6542,80065C9B0,800BA9DC0,112.18,US Dollar,Credit Card,0
2022-09-01 00:00:00,207493,80E435B80,80E435B80,121.14,Yuan,Reinvestment,0
2022-09-01 00:00:00,217455,8039ED6B0,8044C7630,2959067.65,Yen,Credit Card,0
2022-09-01 00:00:00,253257,808A8C0C0,809036290,3800.12,UK Pound,Credit Card,0
2022-09-01 00:00:00,17999,8005C9020,801231E70,179.35,US Dollar,Cheque,0
2022-09-01 00:00:00,273619,80B722B00,80B722B00,9235582.48,Mexican Peso,Reinvestment,0
2022-09-01 00:00:00,136640,8025077B0,8025077B0,7.5,Euro,Reinvestment,0
2022-09-01 00:00:00,158729,801F93E00,808193BC0,2212.08,Euro,Cheque,0
2022-09-01 00:00:00,10843,800788BB0,800788BB0,24.62,US Dollar,Reinvestment,0
2022-09-01 00:00:00,212634,8039D0000,803AA6830,72911.01,Yen,Cheque,0
2022-09-01 00:00:00,151425,8068D8B80,80E68E190,111.57,Euro,Credit Card,0
2022-09-01 00:00:00,5566,80097A6A0,80097A6A0,17162.85,US Dollar,Reinvestment,0
2022-09-01 00:00:00,15996,801B5ADC0,801B5ADC0,18.17,US Dollar,Reinvestment,0
2022-09-01 00:00:00,225362,804EF42A0,804EF42A0,1091.22,Rupee,Reinvestment,0
2022-09-01 00:00:00,257092,8092793A0,8092793A0,26313.75,Canadian Dollar,Reinvestment,0
2022-09-01 00:00:00,126467,8001FD490,800C74670,5868.66,Euro,ACH,0
2022-09-01 00:00:00,180445,800D51300,80FBA82F0,227.01,Euro,Credit Card,0
2022-09-01 00:00:00,129006,801422170,806510100,112.16,Euro,Credit Card,0
2022-09-01 00:00:00,255749,80004AE00,80004AE00,2435.5,Canadian Dollar,Reinvestment,0
2022-09-01 00:00:00,19602,8008AD1D0,802467CB0,240658.06,US Dollar,ACH,0
2022-09-01 00:00:00,28796,8037BCBE0,8037BCBE0,11.72,US Dollar,Reinvestment,0
2022-09-01 00:00:00,123007,800245000,8009A4370,4.85,Euro,Credit Card,0
2022-09-01 00:00:00,165188,807AE8790,80AB9F120,3298.31,Euro,Credit Card,0
2022-09-01 00:00:00,199485,802F6F120,803033850,469491.24,Yuan,Cheque,0
2022-09-01 00:00:00,12519,8015A1BF0,8015A1BF0,4.69,US Dollar,Reinvestment,0
2022-09-01 00:00:00,123011,80024B700,80024B700,514099.38,Euro,Reinvestment,0
2022-09-01 00:01:00,269960,80A9F4BC0,80AABEA40,16508.68,Australian Dollar,Credit Card,0
2022-09-01 00:01:00,196917,8069EBDD0,814469DC0,9368.07,Euro,Credit Card,0
2022-09-01 00:01:00,303619,81021BE70,81021BE70,458540.12,Shekel,Reinvestment,0
2022-09-01 00:01:00,304989,8100ED710,81006BDB0,64494.77,Shekel,Cash,0
2022-09-01 00:01:00,223681,804B79B90,8047AAC40,4802.24,Rupee,Credit Card,0
2022-09-01 00:01:00,48810,8072C9630,8072C9630,328154.46,US Dollar,Reinvestment,0
2022-09-01 00:01:00,253258,808A8C0C0,809036290,8652.61,UK Pound,Cash,0
2022-09-01 00:01:00,255976,8087ED4B0,809085EB0,34029.44,Canadian Dollar,Credit Card,0
2022-09-01 00:01:00,147368,804ECFC40,804ECFC40,41589.86,Euro,Reinvestment,0
2022-09-01 00:01:00,94281,80ACE82D0,80F3D1F70,19370.65,US Dollar,Cheque,0
2022-09-01 00:01:00,182852,8068A4DD0,810CB5A80,1872.89,Euro,Credit Card,0
2022-09-01 00:01:00,127137,800E65BE0,800E65BE0,7.43,Euro,Reinvestment,0
2022-09-01 00:01:00,199875,8030FD320,8030FD320,5232701.93,Yuan,Reinvestment,0
2022-09-01 00:01:00,280990,80CDF07B0,80CDF07B0,58.13,Brazil Real,Reinvestment,0
2022-09-01 00:01:00,17222,801DC9D90,801DC9D90,10.17,US Dollar,Reinvestment,0
2022-09-01 00:01:00,39872,803862BD0,805A47C80,5757.64,US Dollar,Cash,0
2022-09-01 00:01:00,78377,801BD00C0,80CBD5F40,5963.28,US Dollar,Cheque,0
2022-09-01 00:01:00,131120,8018F1900,8053168D0,7.65,Euro,Credit Card,0
2022-09-01 00:01:00,259114,809632660,809632660,5.72,Canadian Dollar,Reinvestment,0
2022-09-01 00:01:00,68647,8052068C0,80B223950,2561.62,US Dollar,Credit Card,0
2022-09-01 00:01:00,28978,80388D3D0,80388D3D0,10.66,US Dollar,Reinvestment,0
2022-09-01 00:01:00,83211,80D45D750,80D45D750,21492.33,US Dollar,Reinvestment,0
2022-09-01 00:01:00,137616,80269FB20,80269FB20,5.41,Euro,Reinvestment,0
2022-09-01 00:01:00,158031,80682EF60,808019CA0,1045650.57,Euro,Cheque,0
2022-09-01 00:01:00,211948,803866B90,803866B90,4323749.02,Yen,Reinvestment,0
2022-09-01 00:01:00,122789,8001CC830,8001CC830,27799.53,Euro,Reinvestment,0
2022-09-01 00:01:00,124348,8005FEAE0,8005FEAE0,4.73,Euro,Reinvestment,0
2022-09-01 00:01:00,294315,80E256930,80F36D710,17566.53,Swiss Franc,Credit Card,0
2022-09-01 00:01:00,140435,802B416A0,802B416A0,1174275.44,Euro,Reinvestment,0
2022-09-01 00:01:00,153657,80754DCE0,80754DCE0,19.07,Euro,Reinvestment,0
2022-09-01 00:01:00,130669,8018446E0,8018446E0,97138.07,Euro,Reinvestment,0
2022-09-01 00:01:00,304596,81062E050,81062E050,16660.68,Shekel,Reinvestment,0
2022-09-01 00:01:00,221225,80C413DF0,80E907FD0,672410.41,Yen,Cheque,0
2022-09-01 00:01:00,236117,80626A660,806274E20,8899184304.57,Ruble,Cheque,0
2022-09-01 00:01:00,225639,804A82B20,804F79C40,1049186.05,Rupee,Credit Card,0
2022-09-01 00:01:00,294317,80E256930,80F36D710,17229.97,Swiss Franc,ACH,0
2022-09-01 00:01:00,20808,802683D60,802741360,56912.9,US Dollar,Cheque,0
2022-09-01 00:01:00,301183,80FD28AC0,80FDDCC20,28664.54,Shekel,Credit Card,0
2022-09-01 00:01:00,80016,80D0C9E10,80B020260,19.58,US Dollar,Credit Card,0
2022-09-01 00:01:00,21858,8022ACB40,8029779B0,3686.54,US Dollar,ACH,0
2022-09-01 00:01:00,268397,80A4AAEC0,80A856210,416795.57,Australian Dollar,ACH,0
2022-09-01 00:01:00,62448,806C6C6A0,809CE84E0,362510.56,US Dollar,Cheque,0
2022-09-01 00:01:00,75297,8031B1490,80C24D040,8981.08,US Dollar,Credit Card,0
2022-09-01 00:01:00,13132,8003E2FB0,8016A3F70,1548.57,US Dollar,Cheque,0
2022-09-01 00:01:00,123898,800501540,8002BCF50,22.06,Euro,Credit Card,0
2022-09-01 00:01:00,300762,80FD32E60,80FD32E60,10660025.17,Shekel,Reinvestment,0
2022-09-01 00:01:00,147520,8050729D0,8050729D0,98922.49,Euro,Reinvestment,0
2022-09-01 00:01:00,153973,8069A65F0,80764A0B0,6.51,Euro,ACH,0
2022-09-01 00:01:00,318645,81342CE11,81342CE11,0.001791,Bitcoin,Bitcoin,0
2022-09-01 00:01:00,245454,807C34360,807C34360,4432.67,UK Pound,Reinvestment,0
2022-09-01 00:01:00,190498,804832DD0,812909320,1556.14,Euro,Cash,0
2022-09-01 00:01:00,149973,8024FEAA0,80233ACC0,10258.09,Euro,Cheque,0
2022-09-01 00:01:00,135565,8021A80A0,8021A80A0,12.58,Euro,Reinvestment,0
2022-09-01 00:02:00,285496,80DBDE2A0,80DBF2DB0,2870.06,Swiss Franc,Credit Card,0
2022-09-01 00:02:00,319004,81371B341,81371B341,0.077993,Bitcoin,Bitcoin,0
2022-09-01 00:02:00,304987,8100ED710,81006BDB0,122607.45,Shekel,Cheque,0
2022-09-01 00:02:00,157397,807CDD3C0,807CDD3C0,297825.82,Euro,Reinvestment,0
2022-09-01 00:02:00,84853,801943190,80DA50C60,869.46,US Dollar,Cheque,0
2022-09-01 00:02:00,244735,807679EE0,807679EE0,194139.63,UK Pound,Reinvestment,0
2022-09-01 00:02:00,304536,81019C080,8103585A0,1343.65,Shekel,Cheque,0
2022-09-01 00:02:00,201655,8037D4230,8038C2F80,70575.46,Yuan,Cheque,0
2022-09-01 00:02:00,61727,8012F27D0,809BB38E0,8858.6,US Dollar,Credit Card,0
2022-09-01 00:02:00,223589,804A42E40,804B78E90,745607.77,Rupee,Credit Card,0
2022-09-01 00:02:00,89915,80E312310,80E312310,15.25,US Dollar,Reinvestment,0
2022-09-01 00:02:00,14059,8015FBAA0,8017ECBF0,10618.67,US Dollar,Cheque,0
2022-09-01 00:02:00,285873,80DC59460,80DC59460,10.99,Swiss Franc,Reinvestment,0
2022-09-01 00:02:00,5441,8009442F0,8009442F0,440385.06,US Dollar,Reinvestment,0
2022-09-01 00:02:00,43428,8024F5A30,80640CB70,874.91,US Dollar,ACH,0
2022-09-01 00:02:00,268381,80A72AA60,80A853510,113467.49,Australian Dollar,ACH,0
2022-09-01 00:02:00,36631,802A14BF0,8051551E0,8296.61,US Dollar,ACH,0
2022-09-01 00:02:00,2037,8002B5EE0,800466E60,55.06,US Dollar,Wire,0
2022-09-01 00:02:00,23611,8017E6F10,802D56080,13168.88,US Dollar,Cheque,0
2022-09-01 00:02:00,89757,807CC32F0,80E24B8B0,44540.29,US Dollar,Cheque,0
2022-09-01 00:02:00,214919,803ED2C70,803FAB520,84367595.14,Yen,Cash,0
2022-09-01 00:02:00,140572,8001B5780,802BB96A0,15109.26,Euro,Credit Card,0
2022-09-01 00:02:00,224607,804CDBCA0,804CDBCA0,695.5,Rupee,Reinvestment,0
2022-09-01 00:02:00,13321,801703B90,801703B90,7.54,US Dollar,Reinvestment,0
2022-09-01 00:02:00,36024,804EE25D0,804EE25D0,23.42,US Dollar,Reinvestment,0
2022-09-01 00:02:00,27299,8034B00A0,8034B00A0,22.64,US Dollar,Reinvestment,0
2022-09-01 00:02:00,61728,8012F27D0,809BB38E0,49192.67,US Dollar,Cash,0
2022-09-01 00:02:00,319765,813B76A01,813B76A01,48.086789,Bitcoin,Bitcoin,0
2022-09-01 00:02:00,7862,8007915D0,800D6A320,4271.52,US Dollar,Cheque,0
2022-09-01 00:02:00,137487,801F93E00,802672B20,318076.08,Euro,Cheque,0
2022-09-01 00:02:00,301184,80FD28AC0,80FDDCC20,417435.08,Shekel,Cash,0
2022-09-01 00:02:00,319275,813773D11,813773D11,0.297048,Bitcoin,Bitcoin,0
2022-09-01 00:02:00,12547,8010029C0,8015C2D50,12097.9,US Dollar,ACH,0
2022-09-01 00:02:00,47291,806D9F9A0,808FB05B0,49.72,US Dollar,Credit Card,0
2022-09-01 00:02:00,293545,80E8EC430,80F1B3070,96.92,Swiss Franc,Credit Card,0
2022-09-01 00:02:00,198273,80079AFA0,80079AFA0,44348.77,Yuan,Reinvestment,0
2022-09-01 00:02:00,13815,800D19380,801793210,27881.99,US Dollar,Credit Card,0
2022-09-01 00:02:00,62836,806E778B0,809F84E90,481.69,US Dollar,Credit Card,0
2022-09-01 00:02:00,121329,80F4B0990,8143E48B0,91.42,US Dollar,Cheque,0
2022-09-01 00:02:00,37967,804DB49F0,804DB49F0,11740.47,Rupee,ACH,0
2022-09-01 00:02:00,9425,8010029C0,8010029C0,23.12,US Dollar,Reinvestment,0
2022-09-01 00:02:00,192094,8029D6FF0,812DB7CB0,1378421.19,Euro,Cheque,0
2022-09-01 00:02:00,44419,8066AC7E0,8066AC7E0,199168.65,US Dollar,Reinvestment,0
2022-09-01 00:02:00,56939,808AD9AF0,80229B7F0,6.86,US Dollar,Credit Card,0
2022-09-01 00:02:00,268337,80A2E68B0,80A845110,15568.39,Australian Dollar,Cash,0
2022-09-01 00:02:00,286512,80E287AB0,80E287AB0,78882.71,Swiss Franc,Reinvestment,0
